origin,review_status,game_id,game_name,category_id,category_name,item_id,kind,prompt,answers_or_aliases,reason
NEW,NEEDS_REVIEW,bara-al-salafa,برا السالفة,food,أكلات,food-mango,word,مانجو,Mango,NEW. حشو فواكه عامة. الأصل تجنّب تحويل الفئة إلى قائمة بقالة.
NEW,NEEDS_REVIEW,bara-al-salafa,برا السالفة,food,أكلات,food-watermelon,word,بطيخ,حبحب | Watermelon,NEW. حشو فواكه عامة. الأصل تجنّب تحويل الفئة إلى قائمة بقالة.
NEW,KEEP,bara-al-salafa,برا السالفة,food,أكلات,food-karak,word,شاي كرك,كرك | Karak,NEW. عنصر قوي مبدئيًا (واضح، شائع، أو خليجي مميز). ليس توقيعًا نهائيًا — أقل ثقة من الأصل.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,countries,بلدان,countries-1,word,السعودية,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,countries,بلدان,countries-2,word,الأردن,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,countries,بلدان,countries-3,word,مصر,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,countries,بلدان,countries-4,word,الإمارات,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,countries,بلدان,countries-5,word,الكويت,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,countries,بلدان,countries-6,word,قطر,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,countries,بلدان,countries-7,word,البحرين,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,countries,بلدان,countries-8,word,عُمان,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,countries,بلدان,countries-9,word,المغرب,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,countries,بلدان,countries-10,word,تركيا,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,countries,بلدان,countries-11,word,اليابان,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,countries,بلدان,countries-12,word,الصين,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,countries,بلدان,countries-13,word,الهند,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,countries,بلدان,countries-14,word,فرنسا,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,countries,بلدان,countries-15,word,إيطاليا,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,countries,بلدان,countries-16,word,إسبانيا,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,countries,بلدان,countries-17,word,ألمانيا,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,countries,بلدان,countries-18,word,بريطانيا,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,countries,بلدان,countries-19,word,أمريكا,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,countries,بلدان,countries-20,word,البرازيل,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
NEW,NEEDS_REVIEW,bara-al-salafa,برا السالفة,countries,بلدان,countries-canada,word,كندا,Canada,NEW. لم يُراجع بشريًا بعد. لا يُعامل كالمحتوى الأصلي المُختار حتى تمرير المالك.
NEW,NEEDS_REVIEW,bara-al-salafa,برا السالفة,countries,بلدان,countries-australia,word,أستراليا,Australia,NEW. لم يُراجع بشريًا بعد. لا يُعامل كالمحتوى الأصلي المُختار حتى تمرير المالك.
NEW,NEEDS_REVIEW,bara-al-salafa,برا السالفة,countries,بلدان,countries-mexico,word,المكسيك,Mexico,NEW. لم يُراجع بشريًا بعد. لا يُعامل كالمحتوى الأصلي المُختار حتى تمرير المالك.
NEW,NEEDS_REVIEW,bara-al-salafa,برا السالفة,countries,بلدان,countries-greece,word,اليونان,Greece,NEW. بلد إضافي بأسلوب قائمة أطلس أكثر من موضوع سالفة/تخمين ممتع.
NEW,NEEDS_REVIEW,bara-al-salafa,برا السالفة,countries,بلدان,countries-portugal,word,البرتغال,Portugal,NEW. بلد إضافي بأسلوب قائمة أطلس أكثر من موضوع سالفة/تخمين ممتع.
NEW,NEEDS_REVIEW,bara-al-salafa,برا السالفة,countries,بلدان,countries-south-korea,word,كوريا الجنوبية,South Korea,NEW. لم يُراجع بشريًا بعد. لا يُعامل كالمحتوى الأصلي المُختار حتى تمرير المالك.
NEW,NEEDS_REVIEW,bara-al-salafa,برا السالفة,countries,بلدان,countries-singapore,word,سنغافورة,Singapore,NEW. بلد إضافي بأسلوب قائمة أطلس أكثر من موضوع سالفة/تخمين ممتع.
NEW,NEEDS_REVIEW,bara-al-salafa,برا السالفة,countries,بلدان,countries-argentina,word,الأرجنتين,Argentina,NEW. لم يُراجع بشريًا بعد. لا يُعامل كالمحتوى الأصلي المُختار حتى تمرير المالك.
NEW,KEEP,bara-al-salafa,برا السالفة,countries,بلدان,countries-iraq,word,العراق,Iraq,NEW. عنصر قوي مبدئيًا (واضح، شائع، أو خليجي مميز). ليس توقيعًا نهائيًا — أقل ثقة من الأصل.
NEW,KEEP,bara-al-salafa,برا السالفة,countries,بلدان,countries-lebanon,word,لبنان,Lebanon,NEW. عنصر قوي مبدئيًا (واضح، شائع، أو خليجي مميز). ليس توقيعًا نهائيًا — أقل ثقة من الأصل.
NEW,NEEDS_REVIEW,bara-al-salafa,برا السالفة,countries,بلدان,countries-syria,word,سوريا,Syria,NEW. لم يُراجع بشريًا بعد. لا يُعامل كالمحتوى الأصلي المُختار حتى تمرير المالك.
NEW,KEEP,bara-al-salafa,برا السالفة,countries,بلدان,countries-yemen,word,اليمن,Yemen,NEW. عنصر قوي مبدئيًا (واضح، شائع، أو خليجي مميز). ليس توقيعًا نهائيًا — أقل ثقة من الأصل.
NEW,NEEDS_REVIEW,bara-al-salafa,برا السالفة,countries,بلدان,countries-sudan,word,السودان,Sudan,NEW. لم يُراجع بشريًا بعد. لا يُعامل كالمحتوى الأصلي المُختار حتى تمرير المالك.
NEW,NEEDS_REVIEW,bara-al-salafa,برا السالفة,countries,بلدان,countries-pakistan,word,باكستان,Pakistan,NEW. بلد إضافي بأسلوب قائمة أطلس أكثر من موضوع سالفة/تخمين ممتع.
NEW,NEEDS_REVIEW,bara-al-salafa,برا السالفة,countries,بلدان,countries-russia,word,روسيا,Russia,NEW. لم يُراجع بشريًا بعد. لا يُعامل كالمحتوى الأصلي المُختار حتى تمرير المالك.
NEW,NEEDS_REVIEW,bara-al-salafa,برا السالفة,countries,بلدان,countries-tunisia,word,تونس,Tunisia,NEW. لم يُراجع بشريًا بعد. لا يُعامل كالمحتوى الأصلي المُختار حتى تمرير المالك.
NEW,NEEDS_REVIEW,bara-al-salafa,برا السالفة,countries,بلدان,countries-algeria,word,الجزائر,Algeria,NEW. لم يُراجع بشريًا بعد. لا يُعامل كالمحتوى الأصلي المُختار حتى تمرير المالك.
NEW,KEEP,bara-al-salafa,برا السالفة,countries,بلدان,countries-palestine,word,فلسطين,Palestine,NEW. عنصر قوي مبدئيًا (واضح، شائع، أو خليجي مميز). ليس توقيعًا نهائيًا — أقل ثقة من الأصل.
NEW,NEEDS_REVIEW,bara-al-salafa,برا السالفة,countries,بلدان,countries-sweden,word,السويد,Sweden,NEW. بلد إضافي بأسلوب قائمة أطلس أكثر من موضوع سالفة/تخمين ممتع.
NEW,NEEDS_REVIEW,bara-al-salafa,برا السالفة,countries,بلدان,countries-switzerland,word,سويسرا,Switzerland,NEW. بلد إضافي بأسلوب قائمة أطلس أكثر من موضوع سالفة/تخمين ممتع.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,football,كرة قدم,football-1,word,كريستيانو رونالدو,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,football,كرة قدم,football-2,word,ليونيل ميسي,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,football,كرة قدم,football-3,word,نيمار,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,football,كرة قدم,football-4,word,كيليان مبابي,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,football,كرة قدم,football-5,word,محمد صلاح,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,football,كرة قدم,football-6,word,كريم بنزيما,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,football,كرة قدم,football-7,word,لوكا مودريتش,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,football,كرة قدم,football-8,word,روبرت ليفاندوفسكي,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,football,كرة قدم,football-9,word,إيرلينغ هالاند,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,football,كرة قدم,football-10,word,فينيسيوس جونيور,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
ORIGINAL,KEEP,bara-al-salafa,برا السالفة,football,كرة قدم,football-11,word,رونالدينيو,,ORIGINAL. من المحتوى المُراجع سابقًا؛ لا توجد علة واضحة تستدعي الحذف.
